Nome,Email,
joão Gomes,jgomes@gmail.com,
maria Lopes,lmaria@gamil.com,
Pedro Lima,plima@gmail.com,
Yara silva Jorge,yaraj@terra.com.br,
Manoel Costa Sousa,manoelsousa@gamil.com,
Patricia Kiluviz,kiluvizp@gmail.com,
Cristiano Ferreira,ferreirac@gmail.com,
Ornilto Souto,souto@gmail.com,
Gilberto Fonceca,gfonceca@terra.com.br,
Vanessa Lima Duarte,duartevanessa@gmail.com,
Bernardo Costa Freitas,freitascosta@gmail.com,
Maria Cecilia Pedrosa,pedrosamaria@gamil.com,
Camila Lopes,lopesc@gmail.com,
Ulices Gomes,gomesulices@gmail.com,
Camila Freitas,freitascamila@gmail.com,
Natalia Silva Portela,portelanatalia@gmail.com,
Maiara Volita,volitamaya@gmail.com,
Ricardo Lopes,lopesr@terra.com.br,
Queiros Barros neto,barrosneto@gmail.com,
Bartolomeu Ferreira, ferreirabartolomeu@gmail.com,
Patricia Portela,patriciap@gmail.com,
Aline Patricia,patriciaaline@gmail.com,
Francisco Gomes Lopes,fraciscogomes@gmail.com,
Vanuza Freitas,freitasvanuza@gmail.com,
